building_id,name,lat,lng
loomis_laboratory_of_physics,Loomis Laboratory of Physics,40.1111055,-88.2232324
louise_freer_hall,Louise Freer Hall,40.104833,-88.2227302
lovers_playground,Lovers Playground,40.1123406,-88.2405672
lundgren_hall,Lundgren Hall,40.1039373,-88.2340472
m2_on_neil,M2 on Neil,40.1187431,-88.2439164
mhm_properties,MHM Properties,40.1141452,-88.2324723
main_library,Main Library,40.1047193,-88.2289898
maize,Maize,40.1014323,-88.2443689
manolo_s_pizza_empanadas,Manolo's Pizza & Empanadas,40.106824,-88.2235658
manzella_s,Manzella's,40.1158422,-88.2389889
materials_research_laboratory,Materials Research Laboratory,40.111665,-88.2230737
materials_science_engineering_building,Materials Science & Engineering Building,40.1109284,-88.2261035
mcdonald_s,McDonald's,40.0975248,-88.2452439
mcfarland_carillon_bell_tower,McFarland Carillon Bell Tower,40.1028309,-88.2271909
mckinley_health_center,McKinley Health Center,40.1027304,-88.2198829
meat_science_lab,Meat Science Lab,40.0994396,-88.2231034
mechanical_engineering_lab,Mechanical Engineering Lab,40.1117966,-88.2261556
medical_office_building,Medical Office Building,40.1171195,-88.2277467
medical_sciences_building,Medical Sciences Building,40.108563,-88.225172
merry_ann_s_diner,Merry Ann's Diner,40.0983917,-88.2442471
meyer_capel,Meyer Capel,40.1185404,-88.2476626
midtown_plaza_north,Midtown Plaza North,40.1138438,-88.2383703
midtown_plaza_south,Midtown Plaza South,40.1130368,-88.2382845
mike_williams,Mike Williams,40.0997442,-88.2441114
mittendorf_calvert,Mittendorf Calvert,40.100208,-88.2265031
morrill_hall,Morrill Hall,40.1087575,-88.2245595
mumford_hall,Mumford Hall,40.1036286,-88.2259567
mumford_house,Mumford House,40.1027187,-88.2276576
music_building,Music Building,40.1063853,-88.2232719
music_and_performing_arts_library,Music and Performing Arts Library,40.1066435,-88.2228805
ncsa_petascale_computing_facility,NCSA Petascale Computing Facility,40.0952591,-88.2420314
nika,NIKA,40.1077091,-88.2190065
ny_alts,NY Alts,40.1160539,-88.2376367
nando_milano,Nando Milano,40.1175372,-88.2433054
national_center_for_supercomputing_applications,National Center for Supercomputing Applications,40.1148266,-88.225004
national_soybean_research_center,National Soybean Research Center,40.1010825,-88.2225774
native_american_studies,Native American Studies,40.1061446,-88.224499
natural_history_building,Natural History Building,40.1094922,-88.2260305
natural_history_survey_green_house,Natural History Survey Green House,40.1007989,-88.22949
natural_resources_building,Natural Resources Building,40.1011368,-88.2290775
natural_resources_garage,Natural Resources Garage,40.1008403,-88.2285852
near_north_luxury_apartments,Near North Luxury Apartments,40.1161683,-88.2337838
nevada_building_computer_lab,Nevada Building Computer Lab,40.1055406,-88.2244506
newmark_civil_engineering_laboratory,Newmark Civil Engineering Laboratory,40.1139917,-88.2265465
nick_s_paints,Nick's Paints,40.1091072,-88.244704
niemanns,Niemanns,40.1130777,-88.2339659
nika_house,Nika House,40.1092295,-88.2373051
noble_hall,Noble Hall,40.1023222,-88.2341943
north_campus_parking_garage,North Campus Parking Garage,40.1158528,-88.2248948
noyes_laboratory,Noyes Laboratory,40.1084353,-88.2260913
nuera,NuEra,40.1104334,-88.2384818
nuclear_engineering_laboratory,Nuclear Engineering Laboratory,40.1117822,-88.2246253
nuclear_physics_lab,Nuclear Physics Lab,40.1021829,-88.2425913
nuclear_physics_lab_559791915,Nuclear Physics Lab,40.1022079,-88.2421607
nuclear_radiation_laboratory,Nuclear Radiation Laboratory,40.111223,-88.2244395
nugent_hall,Nugent Hall,40.1036086,-88.2365674
oak_street_library_facility,Oak Street Library Facility,40.1083561,-88.2419828
octave,Octave,40.1147119,-88.2330563
octave_1373411256,Octave,40.1151089,-88.2328246
office_for_the_protection_of_research_subjects,Office for the Protection of Research Subjects,40.1003854,-88.2181203
oglesby_hall,Oglesby Hall,40.0989364,-88.2215178
one_main,One Main,40.1184055,-88.2429816
optical_physics_engineering_building,Optical Physics Engineering Building,40.1113192,-88.2294897
orpheum_champaign,Orpheum Champaign,40.1194926,-88.2425488
